stop_id,total_trips,stop_name,stop_lat,stop_lon,nearest_poi_name,nearest_poi_type,nearest_poi_distance_m
8055,8,Ghule Nagar Vadgaon Budruk,18.4609014742577,73.8251283184143,Chavan Hospital,hospital,195.5
5404,8,Ovhal Vasti,18.3438,73.848,Shlok Hospital,hospital,497.6
3334,8,Dhayari Phata Dhayari Road,18.46067694058,73.812783442219,Trimurti Hospital,hospital,306.0
106792,8,Nigdi,18.6604484745353,73.7764489331687,Ameya Netralaya (Eye Hospital),hospital,118.9
8126,7,Yavat,18.4755,74.271797,Anand Hospital,hospital,288.7
8127,7,Station Road Yavat,18.4764,74.2677,Yavat Rural Hospital,hospital,117.7
106720,7,Siddharthnagar Varvand,18.4469064253069,74.4109374090555,Divekar Hospital,hospital,104.0
8100,7,Gram Panchayat Karyalay Varvand,18.4475,74.407898,Divekar Hospital,hospital,274.9
5221,7,Vitthalbaba Darga,18.6789,73.899399,"Rural Hospital, Alandi",hospital,439.5
6406,7,Parkhi Vidyalaya,18.5746,73.706497,Unknown,hospital,197.9
6407,7,Chandephata Maan,18.573799,73.702599,Unknown,hospital,235.3
6410,7,Hinjewadi Maan Phase 3 Corner,18.5734572466159,73.6889619058087,Vedant Hospital,hospital,206.4
6397,7,Pandavnagar Maan,18.5849,73.731903,"Hope Foundation's International Institute of Information Technolohy, Pune",college,488.3
6405,7,Mandevi Temple,18.575199,73.709198,Unknown,hospital,487.1
8574,7,Isha Nagari,18.487499,73.8032,Mai Mangeshkar Hospital,hospital,447.0
8575,7,Chaitanyanagri,18.484699,73.805901,Kulkarni Hospital and Diagnostic Centre,hospital,361.4
106860,7,Philips Corner,18.6201146979219,73.8414008481494,Saidham Hospital,hospital,219.2
106861,7,Philips Corner,18.6202367048769,73.8412024815186,Saidham Hospital,hospital,243.2
8809,7,Wakefield It Company,18.5605407404737,73.9116804974477,apollo clinic,hospital,495.1
8810,7,Sakore Nagar,18.561899,73.911201,apollo clinic,hospital,404.5
8811,7,Nexa Showroom,18.5623,73.907097,SYMBOSIS INTERNATIONAL SCHOOL,college,407.7
3521,6,E C P Coloney,18.4792,73.931297,Aadhar Hospital,hospital,390.3
8343,6,Warje Highway / Navin Highway,18.4807989705934,73.8036323912869,Chaitanya Centre For Psychological Help,hospital,162.0
2431,6,Pratima Nagar,18.6993042683941,74.1360104084015,"Jijamata Hospital, Pune",hospital,459.9
1947,6,Aditya Garden City,18.4871744622296,73.7903326749802,Arvind Ganpat Bartakke Dawakhana Atulnagar,hospital,468.0
1948,6,Aditya Garden City,18.487301,73.790298,Arvind Ganpat Bartakke Dawakhana Atulnagar,hospital,481.9
2851,6,Chatrapati Sambhaji High School,18.65,74.057297,Dr Sonawane Hospital,hospital,351.9
3522,6,Satav Nagar,18.474899,73.931503,Aadhar Hospital,hospital,90.3
3500,6,Satav Nagar,18.476801,73.931396,Aadhar Hospital,hospital,125.8
3501,6,E C P Coloney,18.479311418768,73.9312317967415,Aadhar Hospital,hospital,402.6
