shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_13,18.5124,73.839,40
shape_13,18.5124,73.839,41
shape_13,18.51048,73.83504,42
shape_13,18.51048,73.83504,43
shape_13,18.50886,73.83193,44
shape_13,18.50886,73.83193,45
shape_13,18.5073,73.8289,46
shape_13,18.5073,73.8289,47
shape_13,18.50734,73.82335,48
shape_13,18.50734,73.82335,49
shape_13,18.5104,73.8196,50
shape_13,18.5104,73.8196,51
shape_13,18.5101,73.8171,52
shape_13,18.5101,73.8171,53
shape_13,18.5096,73.81458,54
shape_13,18.5096,73.81458,55
shape_13,18.50939,73.81275,56
shape_13,18.50939,73.81275,57
shape_13,18.50812,73.8094,58
shape_13,18.50812,73.8094,59
shape_13,18.5073,73.8073,60
shape_13,18.5073,73.8073,61
shape_13,18.50699,73.80424,62
shape_13,18.50699,73.80424,63
shape_13,18.5073,73.7999,64
shape_13,18.5073,73.7999,65
shape_13,18.50771,73.79708,66
shape_13,18.50771,73.79708,67
shape_13,18.5078,73.7947,68
shape_14,18.4433,73.7991,1
shape_14,18.44712,73.79994,2
shape_14,18.44712,73.79994,3
shape_14,18.44688,73.80168,4
shape_14,18.44688,73.80168,5
shape_14,18.44704,73.80384,6
shape_14,18.44704,73.80384,7
shape_14,18.4471,73.8074,8
shape_14,18.4471,73.8074,9
shape_14,18.44754,73.8103,10
shape_14,18.44754,73.8103,11
shape_14,18.4505,73.811,12
shape_14,18.4505,73.811,13
shape_14,18.45375,73.81153,14
shape_14,18.45375,73.81153,15
shape_14,18.45678,73.8118,16
shape_14,18.45678,73.8118,17
shape_14,18.4572,73.8118,18
shape_14,18.4572,73.8118,19
shape_14,18.46127,73.81304,20
shape_14,18.46127,73.81304,21
shape_14,18.46408,73.81544,22
shape_14,18.46408,73.81544,23
shape_14,18.46744,73.81838,24
shape_14,18.46744,73.81838,25
shape_14,18.46863,73.81947,26
shape_14,18.46863,73.81947,27
shape_14,18.4704,73.8204,28
shape_14,18.4704,73.8204,29
shape_14,18.4733,73.8216,30
shape_14,18.4733,73.8216,31
shape_14,18.47518,73.82246,32
shape_14,18.47518,73.82246,33
shape_14,18.47863,73.8241,34
shape_14,18.47863,73.8241,35
shape_14,18.4817,73.8262,36
shape_14,18.4817,73.8262,37
shape_14,18.48493,73.82797,38
shape_14,18.48493,73.82797,39
shape_14,18.48737,73.8287,40
shape_14,18.48737,73.8287,41
shape_14,18.48737,73.8287,42
shape_14,18.48737,73.8287,43
shape_14,18.4909,73.823,44
shape_14,18.4909,73.823,45
shape_14,18.4915,73.822,46
shape_14,18.4915,73.822,47
shape_14,18.49207,73.82033,48
shape_14,18.49207,73.82033,49
shape_14,18.49075,73.81812,50
shape_14,18.49075,73.81812,51
shape_14,18.48929,73.81446,52
shape_14,18.48929,73.81446,53
shape_14,18.4916,73.8151,54
shape_14,18.4916,73.8151,55
shape_14,18.49296,73.8151,56
shape_14,18.49296,73.8151,57
shape_14,18.4959,73.8133,58
shape_14,18.4959,73.8133,59
shape_14,18.4998,73.8136,60
shape_14,18.4998,73.8136,61
shape_14,18.5023,73.8163,62
shape_14,18.5023,73.8163,63
shape_14,18.50362,73.82012,64
shape_14,18.50362,73.82012,65
shape_14,18.5056,73.8242,66
shape_14,18.5056,73.8242,67
shape_14,18.5073,73.8284,68
shape_14,18.5073,73.8284,69
shape_14,18.50908,73.83202,70
shape_14,18.50908,73.83202,71
shape_14,18.5105,73.83483,72
shape_14,18.5105,73.83483,73
shape_14,18.51256,73.83905,74
shape_14,18.51256,73.83905,75
shape_14,18.5131,73.8404,76
shape_14,18.5131,73.8404,77
shape_14,18.5173,73.84161,78
shape_14,18.5173,73.84161,79
shape_14,18.52274,73.84093,80
shape_14,18.52274,73.84093,81
shape_14,18.52649,73.84197,82
shape_14,18.52649,73.84197,83
shape_14,18.5307,73.848,84
shape_14,18.5307,73.848,85
shape_14,18.53094,73.8472,86
shape_14,18.53094,73.8472,87
shape_14,18.53101,73.84979,88
shape_15,18.53101,73.84979,1
shape_15,18.5283,73.852,2
shape_15,18.5283,73.852,3
shape_15,18.52457,73.84933,4
shape_15,18.52457,73.84933,5
shape_15,18.52173,73.84724,6
shape_15,18.52173,73.84724,7
shape_15,18.51815,73.84431,8
shape_15,18.51815,73.84431,9
shape_15,18.51668,73.843,10
shape_15,18.51668,73.843,11
shape_15,18.51323,73.84096,12
shape_15,18.51323,73.84096,13
shape_15,18.5124,73.839,14
shape_15,18.5124,73.839,15
shape_15,18.51048,73.83504,16
shape_15,18.51048,73.83504,17
shape_15,18.50886,73.83193,18
shape_15,18.50886,73.83193,19
shape_15,18.5073,73.8289,20
shape_15,18.5073,73.8289,21
shape_15,18.5054,73.8242,22
shape_15,18.5054,73.8242,23
shape_15,18.5036,73.8203,24
shape_15,18.5036,73.8203,25
shape_15,18.5022,73.8166,26
shape_15,18.5022,73.8166,27
shape_15,18.4991,73.8138,28
shape_15,18.4991,73.8138,29
shape_15,18.49476,73.81336,30
shape_15,18.49476,73.81336,31
shape_15,18.49334,73.81492,32
shape_15,18.49334,73.81492,33
shape_15,18.4918,73.8153,34
shape_15,18.4918,73.8153,35
shape_15,18.48924,73.81472,36
shape_15,18.48924,73.81472,37
shape_15,18.49075,73.81812,38
shape_15,18.49075,73.81812,39
shape_15,18.49254,73.81836,40
shape_15,18.49254,73.81836,41
shape_15,18.4921,73.8204,42
shape_15,18.4921,73.8204,43
shape_15,18.4909,73.823,44
shape_15,18.4909,73.823,45
shape_15,18.48953,73.82701,46
shape_15,18.48953,73.82701,47
